action,available_qualities,average_estimated_throughput_kbps,average_measured_bandwidth_kbps,average_previous_bandwidth,average_stall_duration_sec,average_switch_magnitude_kbps,bandwidth_history,bitrate_kbps,buffer_level,buffer_level_sec,buffer_state,buffered_segments,client_id,connection_id,current_simulation_time,current_time,deadline_time,direction,download_time_sec,downward_switch_count,elapsed_time,estimated_throughput,event_counter,event_time,event_type,file_received_time,file_size_kbits,final_buffer_level_sec,final_simulation_time_sec,is_stalling,max_buffer_sec,maximum_stall_duration_sec,maximum_switch_magnitude_kbps,measured_bandwidth_kbps,message,playback_position_sec,playback_started,previous_quality_kbps,previous_simulation_time,quality_change_kbps,quality_switch_count,quality_switch_magnitudes,quality_switched,queue_size_after,queue_size_before,reason,request_time,run_id,safety_factor,segment_duration,segment_duration_sec,segment_id,segment_quality,segment_size,selected_quality,server_id,source,stall_count,stall_durations_sec,switch_direction,throughput_history,total_rebuffer_time_sec,total_segments,upward_switch_count,video_name
MPD_REQUEST_CREATED,,,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,client,,,,,,,,video_1
MPD_RESPONSE_RECEIVED,"[800, 1400, 2800]",,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,4,,,,,,,client,,,,,,5,,video_1
MPD_REQUEST_CREATED,,,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,server_1,client,,,,,,,,video_2
MPD_RESPONSE_RECEIVED,"[800, 1400, 2800]",,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,4,,,,,,,client,,,,,,5,,video_2
MPD_RESPONSE_CREATED,,,,,,,,,,,,,client_1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,,server,,,,,,,,video_1
MPD_RESPONSE_CREATED,,,,,,,,,,,,,client_2,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_093444,,,,,,,,,server,,,,,,,,video_2
EVENT_ADDED,,,,,,,,,,,,,client_1,,0,,,,,,,,4,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_2,,0,,,,,,,,5,0.1,MPD_REQUEST,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_REMOVED,,,,,,,,,,,,,client_1,,0.1,,,,,,0.1,,4,0.1,MPD_REQUEST,,,,,,,,,,,,,,0,,,,,1,2,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
EVENT_ADDED,,,,,,,,,,,,,client_1,,0.1,,,,,,,,6,0.1,MPD_RESPONSE,,,,,,,,,,,,,,,,,,,2,1,,,run_20260712_093444,,,,,,,,server_1,event_queue,,,,,,,,
